"Betweenness","Closeness","Eigenvector","name","selected","shared name"
"0.0","0.08823529411764706","0.1365324854850769","choline","false","choline"
"3.0","0.09036144578313253","0.4979156255722046","2-oxoarginine","false","2-oxoarginine"
"0.0","0.0625","0.0","cis-4-hydroxy-d-proline","false","cis-4-hydroxy-d-proline"
"3.0","0.09036144578313253","0.4979156255722046","diaminopimelic acid","false","diaminopimelic acid"
"0.0","0.0625","0.0","deoxyinosine","false","deoxyinosine"
"0.0","0.06666666666666667","0.0","guanine","false","guanine"
"0.0","0.0625","0.0","inosine","false","inosine"
"0.0","0.06666666666666667","0.0","l-threonine","false","l-threonine"
"0.0","0.0625","0.0","sulfate","false","sulfate"
"8.0","0.09036144578313253","0.4619094431400299","l-arginine","false","l-arginine"
"0.0","0.0625","0.0","l-cysteine","false","l-cysteine"
"0.0","0.08982035928143713","0.4307553172111511","l-valine","false","l-valine"
"0.0","0.0625","4.197115188731004E-8","uric acid","false","uric acid"
"0.0","0.08875739644970414","0.2942935824394226","l-aspartic acid","false","l-aspartic acid"
"0.0","0.0625","0.0","n-acetyl-l-glutamate 5-semialdehyde","false","n-acetyl-l-glutamate 5-semialdehyde"
"0.0","0.0625","0.0","n-acetylornithine","false","n-acetylornithine"
