"Betweenness","Closeness","Eigenvector","name","selected","shared name"
"0.0","0.0625","0.0","choline","false","choline"
"0.0","0.06666666666666667","0.0","2-oxoarginine","false","2-oxoarginine"
"0.0","0.0625","0.0","cis-4-hydroxy-d-proline","false","cis-4-hydroxy-d-proline"
"0.0","0.0625","0.0","diaminopimelic acid","false","diaminopimelic acid"
"0.0","0.0625","0.0","deoxyinosine","false","deoxyinosine"
"0.0","0.0625","0.0","guanine","false","guanine"
"0.0","0.08241758241758242","0.41183924674987793","inosine","false","inosine"
"0.0","0.08241758241758242","0.41183924674987793","l-threonine","false","l-threonine"
"0.0","0.0625","0.0","sulfate","false","sulfate"
"7.0","0.08333333333333333","0.582643449306488","l-arginine","false","l-arginine"
"0.0","0.06666666666666667","6.753168695331922E-17","l-cysteine","false","l-cysteine"
"0.0","0.0625","1.0338635338257734E-16","l-valine","false","l-valine"
"0.0","0.08196721311475409","0.2168237864971161","uric acid","false","uric acid"
"0.0","0.0625","6.389075934976063E-8","l-aspartic acid","false","l-aspartic acid"
"1.0","0.08287292817679558","0.5237278938293457","n-acetyl-l-glutamate 5-semialdehyde","false","n-acetyl-l-glutamate 5-semialdehyde"
"0.0","0.0625","0.0","n-acetylornithine","false","n-acetylornithine"
