"Betweenness","Closeness","Degree","degree.layout","Eigenvector","name","selected","shared name"
"0.0","0.047619047619047616","0.0","1","0.0","n-acetylornithine","false","n-acetylornithine"
"0.0","0.05263157894736842","2.0","19","0.5773502588272095","phenylacetic acid","false","phenylacetic acid"
"0.0","0.047619047619047616","0.0","19","0.0","l-cysteine","false","l-cysteine"
"0.0","0.05263157894736842","2.0","19","0.5773502588272095","l-phenylalanine","false","l-phenylalanine"
"0.0","0.05","1.0","19","0.0","l-arginine","false","l-arginine"
"0.0","0.05263157894736842","2.0","19","0.5773502588272095","l-threonine","false","l-threonine"
"0.0","0.047619047619047616","0.0","19","0.0","n-acetyl-l-glutamate 5-semialdehyde","false","n-acetyl-l-glutamate 5-semialdehyde"
"0.0","0.047619047619047616","0.0","19","0.0","phenylacetylglutamine","false","phenylacetylglutamine"
"0.0","0.047619047619047616","0.0","19","4.8666986884882135E-8","l-aspartic acid","false","l-aspartic acid"
"0.0","0.05","1.0","19","0.0","n-acetylglutamic acid","false","n-acetylglutamic acid"
"0.0","0.05","1.0","19","0.0","l-valine","false","l-valine"
"0.0","0.05","1.0","19","0.0","ornithine","false","ornithine"
"0.0","0.047619047619047616","0.0","19","0.0","3-(2-hydroxyphenyl)propanoic acid","false","3-(2-hydroxyphenyl)propanoic acid"
"0.0","0.05","1.0","19","0.0","citrulline","false","citrulline"
"0.0","0.05","1.0","19","0.0","2-ketobutyric acid","false","2-ketobutyric acid"
"0.0","0.047619047619047616","0.0","19","0.0","succinic acid","false","succinic acid"
"0.0","0.047619047619047616","0.0","20","0.0","pyroglutamic acid","false","pyroglutamic acid"
"0.0","0.047619047619047616","0.0","19","0.0","l-tyrosine","false","l-tyrosine"
"0.0","0.047619047619047616","0.0","19","0.0","gamma-glutamylcysteine","false","gamma-glutamylcysteine"
"0.0","0.05","1.0","19","0.0","putrescine","false","putrescine"
"0.0","0.05","1.0","19","0.0","2-isopropylmalic acid","false","2-isopropylmalic acid"
